event_id_cnty,event_date,event_type,country,admin1,admin2,admin3,latitude,longitude,fatalities
MZM3630,2023-12-07,Protests,Mozambique,Zambezia,"Maganja Da Costa",Maganja,-17.3572,37.4332,0
MZM3622,2023-12-06,Battles,Mozambique,"Cabo Delgado",Muidumbe,Chitunda,-11.7736,40.1260,5
MZM3623,2023-12-06,"Violence against civilians",Mozambique,Nampula,Nampula,Nampula,-15.1200,39.2647,0
MZM3626,2023-12-06,Riots,Mozambique,Nampula,Nacala,Nacala,-14.5403,40.6682,0
MZM3629,2023-12-06,Protests,Mozambique,Nampula,Nampula,Nampula,-15.1200,39.2647,0
MZM3627,2023-12-05,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3628,2023-12-05,Protests,Mozambique,Nampula,Nacala,Nacala,-14.5403,40.6682,0
MZM3620,2023-11-29,Protests,Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM3624,2023-11-29,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM3618,2023-11-28,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3621,2023-11-28,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5813,40.0375,0
MZM3619,2023-11-27,Protests,Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM3617,2023-11-24,"Violence against civilians",Mozambique,"Cabo Delgado",Metuge,Metuge,-12.9648,40.2663,2
MZM3615,2023-11-22,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.6061,40.0240,0
MZM3612,2023-11-21,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3625,2023-11-18,Riots,Mozambique,Zambezia,Quelimane,Quelimane,-17.8786,36.8883,0
MZM3603,2023-11-17,"Violence against civilians",Mozambique,Nampula,Nampula,Nampula,-15.1200,39.2647,0
MZM3613,2023-11-17,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3610,2023-11-16,Protests,Mozambique,Maputo,Marracuene,Marracuene,-25.7369,32.6764,0
MZM3611,2023-11-16,Protests,Mozambique,Zambezia,Quelimane,Quelimane,-17.8786,36.8883,0
MZM3600,2023-11-16,Protests,Mozambique,Nampula,Angoche,Angoche,-16.2325,39.9086,1
MZM3614,2023-11-16,Battles,Mozambique,"Cabo Delgado",Muidumbe,Muidumbe,-11.7739,39.8948,2
MZM3616,2023-11-15,"Strategic developments",Mozambique,"Cabo Delgado","Mocimboa da Praia",Mbau,-11.6600,40.3600,0
MZM3609,2023-11-14,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3608,2023-11-13,Protests,Mozambique,Maputo,"Cidade Da Matola","Cidade Da Matola",-25.9622,32.4589,0
MZM3597,2023-11-12,"Violence against civilians",Mozambique,"Cabo Delgado",Muidumbe,Muidumbe,-11.7739,39.8948,2
MZM3598,2023-11-11,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2467,40.1208,1
MZM3599,2023-11-11,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.9358,39.9847,1
MZM3601,2023-11-11,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2467,40.1208,0
MZM3602,2023-11-11,"Strategic developments",Mozambique,"Cabo Delgado",Muidumbe,Muidumbe,-11.7739,39.8948,0
MZM3604,2023-11-11,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Chai,-11.9358,39.9847,0
MZM3605,2023-11-11,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.1152,40.4086,0
MZM3596,2023-11-10,Protests,Mozambique,Maputo,"Cidade Da Matola","Cidade Da Matola",-25.9622,32.4589,0
MZM3595,2023-11-10,Battles,Mozambique,"Cabo Delgado",Macomia,Chai,-11.8882,40.0743,3
MZM3594,2023-11-08,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0653,40.4794,0
MZM3593,2023-11-06,"Strategic developments",Mozambique,"Cabo Delgado",Pemba,Pemba,-12.9733,40.5176,0
MZM3592,2023-11-04,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3591,2023-11-03,Riots,Mozambique,Zambezia,Gurue,Gurue,-15.4669,36.9778,1
MZM3571,2023-11-02,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3606,2023-11-01,"Strategic developments",Mozambique,"Cabo Delgado",Quissanga,Quissanga,-12.3822,40.2624,0
MZM3607,2023-11-01,"Strategic developments",Mozambique,"Cabo Delgado",Meluco,Muaguide,-12.4011,40.1187,0
MZM3585,2023-10-31,"Strategic developments",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM3581,2023-10-28,"Strategic developments",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.4061,40.4706,0
MZM3582,2023-10-28,"Strategic developments",Mozambique,"Cabo Delgado","Mocimboa da Praia",Mbau,-11.6600,40.3600,0
MZM3583,2023-10-28,"Strategic developments",Mozambique,"Cabo Delgado",Meluco,Muaguide,-12.3083,40.0110,0
MZM3584,2023-10-28,"Strategic developments",Mozambique,"Cabo Delgado",Quissanga,Quissanga,-12.3822,40.2624,0
MZM3543,2023-10-27,"Strategic developments",Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM3547,2023-10-27,Riots,Mozambique,Nampula,Nacala,Nacala,-14.5428,40.6728,2
MZM3575,2023-10-27,Riots,Mozambique,Inhambane,Vilankulo,Vilankulo,-23.8656,35.3839,0
MZM3576,2023-10-27,Protests,Mozambique,Zambezia,Gurue,Gurue,-15.4669,36.9778,0
MZM3577,2023-10-27,Protests,Mozambique,Zambezia,"Alto Molocue","Alto Molocue",-15.6356,37.6883,0
MZM3578,2023-10-27,Protests,Mozambique,Nampula,"Ilha De Mocambique","Ilha De Mocambique",-15.0342,40.7358,0
MZM3579,2023-10-27,Protests,Mozambique,Nampula,Angoche,Angoche,-16.2325,39.9086,0
MZM3552,2023-10-27,Riots,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3590,2023-10-27,Riots,Mozambique,Nampula,Nacala,Nacala,-14.5403,40.6682,0
MZM3553,2023-10-27,Riots,Mozambique,Nampula,Nampula,Nampula,-15.1200,39.2647,3
MZM3546,2023-10-27,Riots,Mozambique,Zambezia,Quelimane,Quelimane,-17.8786,36.8883,0
MZM3549,2023-10-26,Riots,Mozambique,Nampula,Nampula,Nampula,-15.1200,39.2647,0
MZM3550,2023-10-26,Riots,Mozambique,Nampula,Nacala,Nacala,-14.5428,40.6728,1
MZM3551,2023-10-26,Riots,Mozambique,Nampula,Nacala,Nacala,-14.5403,40.6682,1
MZM3580,2023-10-25,"Strategic developments",Mozambique,"Cabo Delgado",Quissanga,Quissanga,-12.4341,40.4836,0
MZM3589,2023-10-24,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3542,2023-10-22,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0653,40.4794,0
MZM3588,2023-10-21,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3526,2023-10-20,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-11.9986,40.5380,0
MZM3538,2023-10-20,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-11.9986,40.5380,0
MZM3544,2023-10-20,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3545,2023-10-20,Protests,Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM3541,2023-10-20,"Strategic developments",Mozambique,"Cabo Delgado",Quissanga,Quissanga,-12.3822,40.2624,0
MZM3537,2023-10-20,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.9358,39.9847,0
MZM3587,2023-10-20,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0653,40.4794,0
MZM3521,2023-10-19,"Strategic developments",Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3529,2023-10-19,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM3574,2023-10-19,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0653,40.4794,0
MZM3513,2023-10-18,"Strategic developments",Mozambique,Sofala,Dondo,Dondo,-19.6094,34.7431,0
MZM3517,2023-10-18,Riots,Mozambique,Zambezia,Quelimane,Quelimane,-17.8786,36.8883,0
