,ADM2_NAME,CDD_4D,Food_Sec,HD30_hist,HD30_proj,HH_start_year,HH_target_year,HREA_lightscore,MGDist,MGMVstatus,MGName,MGType,MV_linesDist,RelHum_hist,SHAPE_Area,SPEI12,TRXDist,VIIRS,adm1,adm2,area_m2,avg_temp,bld_count,country,cyclonHaz,dou_level1,dou_level2,elec_mode,elec_status,elevation,haz_sec,id,iso,liv_zone,pcode,pop_20km,pop_d_start_y,pop_d_target_y,pop_start_year,pop_target_year,population,precip_change,precip_hist,pvout,rwi,airport_dist,port_dist,railway_dist,cities_dist,capital_dist,shoreline_dist,ShoreWithin10km,InlandWaterDist_km,water_occur_area_m2,Water_Occur_Bin,Water_Occur_Clas,Crop%,Cropland_ha,No_crop_ha,Vor_area_ha,Vor_area_sq.km,cassavaharvsum,cassavaphysareasum,cassavaprodsum,maizeharvsum,maizephysareasum,maizeprodsum,riceharvsum,ricephysareasum,riceprodsum,sorghumharvsum,sorghumphysareasum,sorghumprodsum,uniqueID,cattlesum,chickensum,duckssum,goatssum,pigssum,sheepsum,horsessum,buffaloessum,milk_prod
0,Mopeia,7896.17,,192.35,242.1,97.44,162.25,0.21,54.79,LV,MC de Pinda,Solar,9.34,67.65,0.0,-0.22,128.7,0.25,Zambezia,Mopeia,511507.16,25.63,251-1000,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,36.83,1.0,420329,MOZ,-3,MZ1117000006,73775.68,952.52,1586.01,487.22,811.26,487.22,85.76,784.84,4.4,-0.29,3.12,3.14,0.4,4.76,18.53,126.68,No,3.15,2257166.0,Yes,High Occurrence,6.57,221.32,3149.57,3370.89,33.71,497.6,101.4,1044.1,389.4,430.4,599.3,156.3,114.6,59.6,56.3,244.8,220.0,69,8.51,5576.28,541.05,387.26,398.76,17.81,0.09,0.28,106597.34
1,Mopeia,7957.0,,192.35,242.1,53.08,88.39,0.24,51.34,LV,MC de Pinda,Solar,4.69,67.65,0.0,-0.22,131.81,0.23,Zambezia,Mopeia,268850.73,25.8,101-250,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,29.0,1.0,420504,MOZ,-3,MZ1117000010,73823.38,987.21,1643.77,265.41,441.93,265.41,85.76,784.84,4.42,-0.35,3.03,3.06,0.31,4.67,18.44,131.35,No,0.99,2292341.0,Yes,High Occurrence,8.38,121.3,1326.62,1447.92,14.48,497.6,101.4,1044.1,389.4,430.4,599.3,156.3,114.6,59.6,56.3,244.8,220.0,68,8.51,5576.28,541.05,387.26,398.76,17.81,0.09,0.28,106597.34
2,Mopeia,7879.95,,192.35,242.1,123.37,205.43,0.16,56.39,LV,MC de Pinda,Solar,12.21,67.65,0.0,-0.22,126.22,0.24,Zambezia,Mopeia,877838.74,25.59,251-1000,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,38.56,1.0,421423,MOZ,-3,MZ1117000007,77889.63,702.72,1170.08,616.87,1027.14,616.87,85.76,784.84,4.37,-0.43,3.19,3.13,0.47,4.83,18.6,123.92,No,5.56,2312108.0,Yes,High Occurrence,1.64,133.75,8041.94,8175.69,81.76,1307.5,2118.3,20736.3,1374.0,1113.4,1349.6,423.6,838.9,364.6,221.3,499.4,409.5,387,28.85,15016.19,1464.75,606.16,1096.08,46.07,0.22,0.72,200389.94
3,Mopeia,7984.38,,229.65,272.7,50.51,84.1,0.75,35.51,LV,MC de Pinda,Solar,11.96,64.18,0.0,-0.2,136.65,0.22,Zambezia,Mopeia,282858.69,25.88,101-250,Mozambique,85.26,Rural,Low Density Rural,un-electrified,un-electrified,49.5,1.0,422404,MOZ,-3,MZ1117000039,84058.8,892.78,1486.54,252.53,420.48,252.53,86.62,648.16,4.43,-0.61,3.13,3.16,0.47,4.82,18.59,148.27,No,0.9,2518161.0,Yes,High Occurrence,3.45,132.08,3692.18,3824.26,38.24,915.1,3097.9,32275.8,1593.0,3583.9,3699.7,347.2,1469.6,677.3,258.1,1189.4,762.8,3243,96.56,10407.95,957.06,1152.63,803.9,57.18,1.17,0.38,459888.68
4,Mopeia,7993.5,,229.65,272.7,125.26,208.56,1.0,36.74,LV,MC de Pinda,Solar,10.6,64.18,0.0,-0.2,136.98,0.21,Zambezia,Mopeia,652982.05,25.9,251-1000,Mozambique,86.82,Rural,Low Density Rural,un-electrified,un-electrified,40.83,1.0,423418,MOZ,-3,MZ1117000038,86351.47,959.13,1597.02,626.29,1042.82,626.29,86.62,648.16,4.42,-0.42,3.11,3.14,0.44,4.8,18.57,147.03,No,0.68,2755490.0,Yes,High Occurrence,3.35,76.47,2207.04,2283.51,22.84,1136.2,4489.6,47360.7,1804.5,3785.1,3913.1,401.8,2078.0,889.2,302.8,1373.9,901.7,3209,98.09,13725.58,1204.26,1188.31,1018.81,60.87,1.18,0.57,471593.3
5,Mopeia,7975.25,,229.65,272.7,25.95,43.2,0.06,33.22,LV,MC de Pinda,Solar,14.85,64.18,0.0,-0.2,135.54,0.21,Zambezia,Mopeia,151236.21,25.85,101-250,Mozambique,85.26,Rural,Low Density Rural,un-electrified,un-electrified,39.0,1.0,424875,MOZ,-3,MZ1117000042,80016.07,857.78,1428.26,129.73,216.0,129.73,86.62,648.16,4.44,-0.67,3.19,3.22,0.51,4.88,18.65,151.09,No,0.18,2434510.0,Yes,High Occurrence,1.26,106.25,8325.62,8431.87,84.32,934.5,3097.9,32275.8,2577.1,3583.9,3699.7,347.2,1469.6,677.3,304.2,1189.4,762.8,378,330.77,13466.69,1098.2,1665.35,1199.93,66.61,5.98,0.4,1044864.29
6,Mopeia,7838.38,,192.35,242.1,72.47,120.67,0.66,43.81,LV,MC de Pinda,Solar,4.08,67.65,0.0,-0.22,131.58,0.28,Zambezia,Mopeia,489018.1,25.48,101-250,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,111.25,1.0,425030,MOZ,-3,MZ1117000022,83682.95,741.0,1233.82,362.36,603.36,362.36,85.76,784.84,4.38,-0.49,2.78,2.81,0.22,4.58,18.34,136.89,No,5.72,2388733.0,Yes,High Occurrence,9.59,459.15,4328.12,4787.27,47.87,689.6,2754.4,29624.6,659.2,1020.5,1205.8,180.6,1252.1,540.6,120.0,682.0,507.5,821,16.65,12558.22,1282.61,1077.5,920.58,45.83,0.22,0.6,281922.64
7,Mopeia,7932.67,,192.35,242.1,67.44,112.3,0.46,49.31,LV,MC de Pinda,Solar,3.81,67.65,0.0,-0.22,131.57,0.27,Zambezia,Mopeia,380879.56,25.73,251-1000,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,46.83,1.0,426814,MOZ,-3,MZ1117400038,75595.09,885.38,1474.23,337.22,561.5,337.22,85.76,784.84,4.4,-0.5,2.97,3.0,0.26,4.62,18.39,132.74,No,2.15,2447948.0,Yes,High Occurrence,5.56,117.09,1988.0,2105.09,21.05,207.1,80.6,939.3,225.6,223.5,311.9,56.8,57.8,30.1,47.1,131.7,118.6,819,2.34,3308.94,274.05,69.22,218.85,4.77,0.02,0.18,20990.23
8,Mopeia,7940.78,,192.35,242.1,672.36,1119.54,1.0,46.07,LV,MC de Pinda,Solar,0.27,67.65,0.0,-0.22,134.8,1.78,Zambezia,Mopeia,2695135.24,25.76,1001 and up,Mozambique,88.38,Rural,Rural,un-electrified,un-electrified,60.56,1.0,427281,MOZ,-3,MZ1117000017,83149.96,1247.37,2076.96,3361.82,5597.68,3361.82,85.76,784.84,4.41,0.04,2.82,2.85,0.16,4.52,18.28,137.38,No,1.85,2817944.0,Yes,High Occurrence,9.9,235.2,2141.04,2376.23,23.76,932.1,1362.7,14539.7,1904.5,819.3,992.4,349.3,643.7,328.7,315.1,497.5,368.6,1623,15.12,9240.59,1035.41,1041.81,705.67,42.15,0.21,0.41,270218.02
9,Mopeia,7993.5,,192.35,242.1,67.83,112.95,0.43,44.19,LV,MC de Pinda,Solar,2.86,67.65,0.0,-0.22,136.61,0.24,Zambezia,Mopeia,444477.38,25.9,101-250,Mozambique,88.38,Rural,Low Density Rural,un-electrified,un-electrified,35.8,1.0,427912,MOZ,-3,MZ1117000018,82076.65,763.07,1270.56,339.17,564.74,339.17,85.76,784.84,4.42,-0.34,2.88,2.91,0.22,4.57,18.34,140.08,No,1.9,2994645.0,Yes,High Occurrence,7.22,102.68,1320.45,1423.13,14.23,242.5,1282.1,13600.4,1245.3,595.8,680.5,168.7,585.9,298.6,195.1,365.8,250.0,1620,12.78,5931.65,761.36,972.6,486.82,37.38,0.19,0.23,249227.78
