key,en,fr,pt
landing.title,AgCAP Tool,Outil AgCAP,Ferramenta AgCAP
landing.subtitle,Agricultural Cold Chain Analysis & Prioritization Tool,Outil d'Analyse et de Priorisation de la Chaîne du Froid Agricole,Ferramenta de Análise e Priorização da Cadeia de Frio Agrícola
landing.country_prompt,Select a country to launch the platform,Sélectionnez un pays pour lancer la plateforme,Selecione um país para iniciar a plataforma
landing.country.madagascar,Madagascar,Madagascar,Madagáscar
landing.country.mozambique,Mozambique,Mozambique,Moçambique
landing.country_desc.madagascar,Settlements analysis and cooling demand assessment.,Analyse des établissements et évaluation de la demande de refroidissement.,Análise de assentamentos e avaliação da demanda de resfriamento.
landing.country_desc.mozambique,Settlements analysis and cooling demand assessment.,Analyse des établissements et évaluation de la demande de refroidissement.,Análise de assentamentos e avaliação da demanda de resfriamento.
landing.button.launch,Launch,Lancer,Iniciar
login.title,Login,Connexion,Login
login.username_label,Username,Nom d'utilisateur,Nome de usuário
login.password_label,Password,Mot de passe,Senha
login.password_placeholder,Enter access code,Entrez le code d'accès,Insira o código de acesso
login.button.signin,Sign In,Se connecter,Entrar
login.button.back,Back to country selection,Retour à la sélection de pays,Voltar à seleção de país
login.error.invalid,Invalid credentials. Please try again.,Identifiants invalides. Veuillez réessayer.,"Credenciais inválidas. Por favor, tente novamente."
sidebar.layers,Layers,Couches,Camadas
sidebar.filters,Filters,Filtres,Filtros
sidebar.analysis,Analysis,Analyse,Análise
sidebar.documentation,Documentation,Documentation,Documentação
sidebar.save_session,Save Session,Sauvegarder la Session,Salvar Sessão
sidebar.load_session,Load Session,Charger une Session,Carregar Sessão
sidebar.language,Language,Langue,Idioma
tabs.layers,Layers,Couches,Camadas
tabs.filters_primary,Filters (Primary),Filtres (Principal),Filtros (Primários)
tabs.analysis,Analysis,Analyse,Análise
basemap.title,Basemap,Fond de Carte,Mapa Base
basemap.token_placeholder,Paste Mapbox Token (Optional),Coller le jeton Mapbox (Optionnel),Colar Token Mapbox (Opcional)
layers.add_layer,+ Add Layer (CSV/GeoJSON/ZipShp/FGB/GPKG),+ Ajouter une Couche (CSV/GeoJSON/ZipShp/FGB/GPKG),+ Adicionar Camada (CSV/GeoJSON/ZipShp/FGB/GPKG)
filters.filter_by,Filter By,Filtrer par,Filtrar Por
analysis.analyze_label,Analyze:,Analyser:,Analisar:
analysis.subset_selected,Selected,Sélectionné,Selecionado
analysis.subset_filtered,Filtered,Filtré,Filtrado
analysis.subset_all,All Data,Toutes les Données,Todos os Dados
analysis.section.population,Population & Demographics,Population et Démographie,População e Demografia
analysis.section.electrification,Electrification,Électrification,Eletrificação
analysis.section.economic,"Economic, Livelihoods, and Risks","Économie, Moyens de Subsistance et Risques","Economia, Meios de Vida e Riscos"
analysis.section.geography,Physical Geography & Climate,Géographie Physique et Climat,Geografia Física e Clima
analysis.section.market,Market Accessibility,Accessibilité aux Marchés,Acessibilidade ao Mercado
