id,Country,Region,District,Postos,Postos_INE,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Least-cost elec. New Capacity (kW),Least-cost elec. Generating Cost ($/kWh),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
10058,Mozambique,MAPUTO,NAMAACHA,CHANGALANE,Changalane,Rural Clusters,2.635,2.122,976.165,976,459,14800,1670,1670,0.039,19.075,2.1,0.9,electrified,1,1,4.191,0.1,-1,0.15,Southern Highland Cattle and Mixed Cropping,0,63,101,22.4,1.2,6716,126,66,707,0.4,"Cwa  Temperate, dry winter, hot summer",1737,50.132,0.754,814.7,47.9,0.6,1.2,1,1.2,0,0.953,0.762,0.233,0.008,0.508,0.414,0.155,0.357,6797.8,4527.4,49.9,0,0,918.2,6.3,0,84.1,0,0.7,7489.9,1294.3,117.3,68.7,44.1,51.4,148,0.582,inland,0.745,0.652,0.355,0.594,Medium,Very High,Very High,High,High,High,No,13628.8,12922.7,7771.4,High
13492,Mozambique,MAPUTO,NAMAACHA,CHANGALANE,Changalane,Low Density Rural,1.347,1.084,335.575,336,309,10571,840,840,0.229,14.717,0.792,0.5,electrified,1,1,0.3,0.1,-0.8,0.15,Southern Highland Cattle and Mixed Cropping,0,66,71,22.4,1.2,6716,126,66,707,0.39,"BSh  Arid, steppe, hot",1757,29.506,0.907,543.1,45.2,0.6,1.2,1,1.2,0.2,0.945,0.757,0.22,0.008,0.504,0.411,0.149,0.353,7407.4,4968.7,51.8,0,0,1079.3,6.7,0,95.8,0,1,10692.9,1397.4,114.3,69.2,48,49.6,139.4,0.443,inland,0.663,0.576,0.279,0.514,Medium,Very High,Very High,High,High,High,No,14956.3,14087.9,10974,High
14831,Mozambique,MAPUTO,MOAMBA,SABIE,Sabie,Low Density Rural,0.307,0.251,31.462,32,127,9047,103,103,0.044,64.773,0,0.4,electrified,1,1,0.028,0.1,-0.4,0.15,Southern Highland Cattle and Mixed Cropping,0,72,73,23.3,1.4,7044,158,63,595,0.4,"BSh  Arid, steppe, hot",1787,9.182,0.177,343.1,71.3,0.6,1.6,1.4,1.6,0.8,0.908,0.729,0.211,0.002,0.501,0.413,0.159,0.356,9335.6,8890.7,70.7,0,0,1571.2,9.5,0,106.4,0.2,2.3,20540.3,1410.7,133.7,123,59.6,55.6,163.8,0.31,inland,0.589,0.511,0.227,0.449,Low,Very High,Very High,High,High,High,No,21326.6,20001.8,20912.2,High
19667,Mozambique,MAPUTO,MATUTUINE,CATUANE,Catuane,Low Density Rural,0.761,0.606,78.783,80,132,772,182,182,1.611,11.022,0,0.2,likely electrified,99,3,1.059,1.135,,0.2,Southern Highland Cattle and Mixed Cropping,0,62,33,22.6,1.3,6789,,,,0.38,"BSh  Arid, steppe, hot",1730,234.775,1.875,440,55.8,2.4,2.5,2.5,2.5,1.8,0.771,0.64,0.175,0.023,0.424,0.363,0.139,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,inland,0.534,0.485,0.229,0.422,Low,Very High,Very High,High,High,High,No,0,0,0,High
22922,Mozambique,MAPUTO,MATUTUINE,ZITUNDO,Zitundo,Low Density Rural,0.805,0.642,65.041,65,101,262,193,193,0.026,23.609,0,0.3,electrified,1,1,0.058,0.1,-0.6,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,68,33,22.5,1.2,6752,130,68,733,0.43,"BSh  Arid, steppe, hot",1718,14.213,0.023,858.8,43.5,2.1,2.2,2.2,2.2,1.5,0.803,0.661,0.176,0.001,0.427,0.36,0.127,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601,inland,0.674,0.611,0.338,0.55,Low,Very High,Very High,High,High,High,No,0,0,0,High
29027,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Low Density Rural,0.364,0.338,308.594,309,915,118562,517,517,100.4,24.688,0.494,0.6,electrified,99,10,2.069,0.01,0,,Cahora Bassa Dam Sesame and Cotton,0,40,353,25.9,1.5,7993,187,58,752,0.33,"BSh  Arid, steppe, hot",2081,30.543,0.523,275.8,505.4,0.5,2.9,8.5,23.6,3,0.558,0.353,0.489,0.005,0.374,0.275,0.341,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258,inland,0.425,0.342,0.394,0.393,High,High,Very High,High,High,High,No,0,0,0,High
32461,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Rural Clusters,0.849,0.787,744.232,744,945,118862,1615,1615,99.93,25.394,0.756,0.6,electrified,1,1,13.384,0.1,0.4,,Cahora Bassa Dam Sesame and Cotton,0,40,358,25.9,1.5,7993,187,58,752,0.34,"BSh  Arid, steppe, hot",2081,6.211,0.136,254.3,504.4,0.5,2.8,8.5,23.6,3,0.56,0.353,0.49,0.001,0.373,0.273,0.34,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,inland,0.416,0.333,0.385,0.384,High,High,Very High,High,High,High,No,0,0,0,High
32463,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Low Density Rural,0.575,0.533,249.806,250,468,125747,499,499,99.14,25.293,0.661,0.4,likely electrified,99,3,2.667,0.944,0.4,,Cahora Bassa Dam Sesame and Cotton,0,40,370,25.8,1.5,7957,187,58,752,0.34,"BSh  Arid, steppe, hot",2082,41.555,3.685,212.8,504.2,0.4,2.8,8.4,23.6,3,0.562,0.359,0.513,0.031,0.388,0.29,0.363,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,inland,0.396,0.316,0.378,0.369,High,High,Very High,High,High,High,No,0,0,0,High
32464,Mozambique,TETE,CAHORA BASSA,CHITIMA,Chitima,Low Density Rural,0.328,0.304,193.165,193,634,138038,520,520,99.279,24.506,0.784,0.6,electrified,1,1,0.724,0.1,0.4,,Cahora Bassa Dam Sesame and Cotton,0,40,360,25.8,1.5,7957,187,58,752,0.33,"BSh  Arid, steppe, hot",2083,2.967,0.271,291.8,505.1,0.5,2.9,8.5,23.6,3,0.558,0.362,0.551,0.002,0.37,0.277,0.367,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,inland,0.43,0.352,0.429,0.41,Very High,High,Very High,High,High,High,No,0,0,0,High
35979,Mozambique,MAPUTO,MATUTUINE,BELA VISTA,Bela Vista,Very Low Density Rural,0.82,0.659,68.136,68,103,15162,162,162,0.046,35.192,0.539,0.3,electrified,1,1,0.061,0.1,-0.2,0.2,"Southern Coastal Rishing, Manioc, and Maize",0,70,38,22.8,1.1,6862,80,72,795,0.52,"BSh  Arid, steppe, hot",1736,2.867,0.065,445.2,20.2,0.8,0.7,0.7,0.7,0.2,0.958,0.778,0.238,0.001,0.516,0.427,0.162,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382,inland,0.646,0.564,0.266,0.499,Medium,Very High,Very High,High,High,High,No,0,0,0,High
