id,Country,Province,District,Posto,Localidade,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
361,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,1.011,0.935,399.36,399,426,6568,573,573,260.186,33.994,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,22,347.0,26.2,1.5,8103,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2140,96.567,1.787,26.4,579.7,6.7,9.1,14.5,29.6,9.3,0.138,0.077,0.077,0.017,0.164,0.145,0.16,0.147,0.0,3.2,19.5,0.0,0.0,293.0,0.3,0.0,0.0,0.6,152.7,12.1,37.1,7.2,1.6,0.0,18.3,4.3,0.027,inland,0.069,0.082,0.08,0.077,Low,Low,Low,Low,Low,Low,No,486.9,66.10000000000001,39.2,Low
378,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.741,0.685,330.22,330,481,4387,670,670,254.797,36.892,0.0,0.2,likely electrified,99,3,-0.5,0.15,Cahora Bassa Dam Sesame and Cotton,0,26,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2135,45.609,5.063,84.4,577.7,6.3,8.6,14.1,29.2,8.8,0.16,0.088,0.074,0.042,0.193,0.167,0.174,0.169,0.0,1.3,1.5,0.0,0.0,205.8,0.0,0.0,0.0,0.6,33.7,12.1,6.3,6.0,1.6,0.0,10.1,2.8,0.087,inland,0.119,0.123,0.112,0.119,Low,Low,Low,Low,Low,Low,No,247.70000000000005,23.700000000000003,29.800000000000004,Low
382,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.464,0.429,173.35,173,403,4256,182,182,253.53,37.831,0.0,0.2,likely electrified,99,3,-0.7,0.15,Cahora Bassa Dam Sesame and Cotton,0,26,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2134,27.468,3.323,171.4,577.1,6.1,8.5,14.0,29.1,8.7,0.166,0.091,0.074,0.027,0.188,0.161,0.167,0.163,0.0,1.3,1.5,0.0,0.0,205.8,0.0,0.0,0.0,0.6,33.7,12.1,6.3,6.0,1.6,0.0,10.1,2.8,0.169,inland,0.168,0.168,0.153,0.165,Low,Low,Low,Low,Low,Low,No,247.70000000000005,23.700000000000003,29.800000000000004,Low
387,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Rural Clusters,1.376,1.273,584.8,585,459,6968,818,818,257.884,33.573,0.0,0.2,likely electrified,99,8,-0.7,0.15,Cahora Bassa Dam Sesame and Cotton,0,22,341.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2138,112.172,1.596,47.5,580.6,6.7,9.0,14.6,29.7,9.2,0.141,0.077,0.077,0.017,0.167,0.147,0.162,0.149,0.0,3.2,19.5,0.0,0.0,293.0,0.3,0.0,0.0,0.6,152.7,12.1,37.1,7.2,1.6,0.0,18.3,4.3,0.05,inland,0.085,0.095,0.093,0.092,Low,Low,Low,Low,Low,Low,No,486.9,66.10000000000001,39.2,Low
459,Mozambique,TETE,MAGOE,MUKUMBURA,Mussenguezi,Low Density Rural,0.347,0.321,128.8,129,402,4836,134,134,240.163,49.414,0.0,0.2,likely electrified,99,3,-0.1,0.15,Central Semiarid Cotton and Minerals,0,25,353.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2092,182.231,3.372,4.3,569.3,5.2,7.5,13.2,28.3,7.7,0.216,0.116,0.084,0.033,0.216,0.175,0.173,0.18,0.0,8.1,38.3,0.0,0.0,2401.8,6.1,0.0,0.0,0.9,278.2,31.1,15.7,25.6,6.1,0.0,39.8,24.8,0.004,inland,0.101,0.091,0.074,0.09,Low,Low,Low,Low,Low,Low,No,2710.7999999999997,95.3,102.6,Low
464,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Rural Clusters,1.762,1.629,777.2,777,476,5784,1922,1922,254.884,34.721,0.0,0.2,likely electrified,99,8,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,25,336.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2135,69.733,5.184,428.6,580.2,6.2,8.6,14.2,29.3,8.8,0.161,0.087,0.077,0.044,0.192,0.166,0.175,0.169,0.0,1.3,1.5,0.0,0.0,205.8,0.0,0.0,0.0,0.6,33.7,12.1,6.3,6.0,1.6,0.0,10.1,2.8,0.371,inland,0.275,0.27,0.253,0.27,Low,Low,Low,Low,Medium,Medium,No,247.70000000000005,23.700000000000003,29.800000000000004,Medium
529,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.97,0.897,395.03,395,440,4313,596,596,249.616,38.844,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2126,57.308,2.941,1236.0,577.6,5.6,8.0,13.6,28.7,8.2,0.191,0.103,0.078,0.025,0.2,0.167,0.168,0.17,0.0,4.9,8.6,0.0,0.0,1348.4,0.1,0.0,0.0,1.5,84.7,33.6,17.3,20.7,5.4,0.0,31.1,15.0,0.731,inland,0.496,0.471,0.435,0.475,Low,Low,Low,Low,High,High,No,1456.9,74.1,90.8,High
585,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.645,0.596,260.14,260,436,6100,607,607,253.342,34.339,0.0,0.2,likely electrified,99,3,-0.6,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,335.0,26.3,1.5,8140,234.0,54.0,782.0,0.36,"BSh  Arid, steppe, hot",2134,492.057,14.109,859.1,581.4,6.0,8.3,14.0,29.1,8.5,0.173,0.093,0.08,0.129,0.244,0.213,0.216,0.217,0.0,1.3,5.5,0.0,0.0,949.6,0.1,0.0,0.0,0.6,33.7,12.1,7.7,9.7,1.7,0.0,11.3,9.5,0.601,inland,0.411,0.395,0.369,0.398,Low,Low,Low,Low,High,High,No,993.0,30.099999999999998,34.8,High
591,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.319,0.295,129.4,129,436,3778,186,186,247.769,39.766,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,333.0,26.4,1.5,8176,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2118,26.81,1.679,1663.6,577.4,5.5,7.8,13.5,28.6,8.0,0.199,0.106,0.078,0.014,0.199,0.163,0.163,0.166,0.0,4.9,14.2,0.0,0.0,1308.6,4.0,0.0,0.0,1.5,84.7,33.6,15.9,22.9,5.3,0.0,32.1,17.8,0.826,inland,0.554,0.523,0.482,0.528,Low,Low,Low,Low,High,High,No,1419.6000000000001,79.8,93.9,High
620,Mozambique,TETE,MAGOE,CHINTHOPO,Mussenguezi,Low Density Rural,0.181,0.167,69.26,69,412,4034,206,206,247.587,39.36,0.0,0.2,likely electrified,99,3,-0.4,0.15,Cahora Bassa Dam Sesame and Cotton,0,24,332.0,26.4,1.5,8176,234.0,54.0,782.0,0.35,"BSh  Arid, steppe, hot",2119,56.904,9.744,1805.9,578.1,5.5,7.8,13.5,28.6,8.0,0.199,0.107,0.079,0.079,0.233,0.197,0.194,0.2,0.0,4.9,18.2,0.0,0.0,2052.4,4.1,0.0,0.0,1.5,84.7,33.6,17.3,26.6,5.4,0.0,33.3,24.5,0.85,inland,0.567,0.536,0.494,0.541,Low,Low,Low,Low,High,High,No,2164.9,86.2,98.9,High
